更新时间,#genre#
20240810-15-57-01,url


RespoTime,whitelist,#genre#
93.19ms,四川卫视,http://101.83.73.7:8686/udp/239.45.1.83:5140
93.46ms,内蒙古卫视,http://116.230.101.210:6066/udp/239.45.1.238:5140
93.59ms,辽宁卫视,http://116.233.242.71:5000/udp/239.45.1.123:5140
93.75ms,广东卫视,http://116.230.101.210:6066/udp/239.45.3.230:5140
93.75ms,黑龙江卫视,http://116.234.41.97:10001/udp/239.45.3.232:5140
93.77ms,宁夏卫视,http://116.233.242.71:5000/udp/239.45.1.213:5140
93.99ms,春晚1988,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
94.01ms,湖北卫视,http://116.234.41.97:10001/udp/239.45.3.239:5140
94.03ms,江苏卫视,http://116.226.8.253:8881/udp/239.45.3.177:5140
94.16ms,深圳卫视,http://116.234.41.97:10001/udp/239.45.3.231:5140
95.11ms,兵团卫视,http://116.233.242.71:5000/udp/239.45.1.117:5140
95.54ms,广西卫视,http://101.83.73.7:8686/udp/239.45.0.5:5140
96.18ms,CCTV14,http://125.113.160.127:8888/udp/233.50.200.103:5140
96.19ms,安徽卫视,http://116.230.101.210:6066/udp/239.45.1.120:5140
96.20ms,云南卫视,http://116.230.101.210:6066/udp/239.45.0.4:5140
96.30ms,广东卫视,http://116.233.242.71:5000/udp/239.45.3.230:5140
96.46ms,黑龙江卫视,http://116.230.101.210:6066/udp/239.45.3.232:5140
96.47ms,CCTV6,http://116.234.41.97:10001/udp/239.45.1.70:5140
96.61ms,天津卫视,http://116.233.242.71:5000/udp/239.45.1.124:5140
96.70ms,哈哈炫动,http://116.230.101.210:6066/udp/239.45.1.55:5140
96.95ms,青海卫视,http://116.230.101.210:6066/udp/239.45.1.230:5140
97.19ms,湖南卫视,http://116.233.242.71:5000/udp/239.45.3.228:5140
97.42ms,三沙卫视,http://116.230.101.210:6066/udp/239.45.1.82:5140
97.57ms,湖南卫视,http://116.234.41.97:10001/udp/239.45.3.228:5140
97.79ms,DJ版《时间会知道你好不好》,https://vd3.bdstatic.com/mda-mhairve7gvye1192/1080p/cae_h264/1629457148988604256/mda-mhairve7gvye1192.mp4
